Name,Gender,Department,Annual Salary,Location,Performance,Distance to Office,Age,Tenure in Company,Salary Category,Age Group,Distance Category,Experience,Rating
Daphne Francillo,Male,Support,757200,Mumbai,Very Poor,23,39,7.6,6LPA - 8LPA,Between 31-40,Greater than 20km,5-10 Years,1
Dare Tully,Male,Services,819000,Mumbai,Average,3,33,11.3,8LPA - 10LPA,Between 31-40,Less than 10km,10-15 Years,3
Daven Smout,Female,Human Resources,423800,New Delhi,Good,14,28,2.2,4LPA - 6LPA,Less than 30,Between 10-20km,2-5 Years,4
Dayalan Hemalatha,Female,Marketing,326200,New Delhi,Good,14,33,7.2,2LPA - 4LPA,Between 31-40,Between 10-20km,5-10 Years,4
Dayanand Dattatray Shenavi,Male,Marketing,720400,Mumbai,Average,12,27,4.1,6LPA - 8LPA,Less than 30,Between 10-20km,2-5 Years,3
Dean Biggam,Female,Product Management,777400,Mumbai,Good,27,36,5.2,6LPA - 8LPA,Between 31-40,Greater than 20km,5-10 Years,4
Debera Gow,Female,Business Development,1021400,New Delhi,Average,29,36,15.0,Greater than 10 LPA ,Between 31-40,Greater than 20km,10-15 Years,3
Deepak Sharma,Male,Legal,486300,New Delhi,Not Rated,23,30,3.4,4LPA - 6LPA,Less than 30,Greater than 20km,2-5 Years,0
Deepali Arun Bhanage,Female,Legal,1059600,Mumbai,Poor,17,41,0.4,Greater than 10 LPA ,Greater than 40,Between 10-20km,0-2 Years,2
Deepali Singh,Female,Research and Development,974000,Bengaluru,Good,17,38,1.4,8LPA - 10LPA,Between 31-40,Between 10-20km,0-2 Years,4
Deepti Sharma,Female,Human Resources,994500,Mumbai,Average,22,37,11.2,8LPA - 10LPA,Between 31-40,Greater than 20km,10-15 Years,3
Deepti Vinaya Urmila Singh,Female,Accounting,826700,New Delhi,Average,10,31,5.9,8LPA - 10LPA,Between 31-40,Less than 10km,5-10 Years,3
Delinda Snozzwell,Not Revealed,Marketing,992000,Bengaluru,Very Good,6,38,6.9,8LPA - 10LPA,Between 31-40,Less than 10km,5-10 Years,5
Dell Molloy,Male,Legal,1114800,New Delhi,Poor,12,32,6.6,Greater than 10 LPA ,Between 31-40,Between 10-20km,5-10 Years,2
Delora Arendt,Female,Research and Development,849400,New Delhi,Poor,28,35,3.4,8LPA - 10LPA,Between 31-40,Greater than 20km,2-5 Years,2
Demetria Le Estut,Female,Support,953400,Bengaluru,Poor,6,29,8.9,8LPA - 10LPA,Less than 30,Less than 10km,5-10 Years,2
Denni Wiggans,Male,Product Management,479600,New Delhi,Poor,4,38,14.5,4LPA - 6LPA,Between 31-40,Less than 10km,10-15 Years,2
Dennison Crosswaite,Male,Research and Development,567100,New Delhi,Average,12,27,0.4,4LPA - 6LPA,Less than 30,Between 10-20km,0-2 Years,3
Deokar Rajashree Sampat,Female,Human Resources,711800,Mumbai,Good,15,38,6.5,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,4
Deshpande Nilkanth Mukund,Male,Research and Development,781800,Bengaluru,Very Good,29,40,17.8,6LPA - 8LPA,Between 31-40,Greater than 20km,15+ Years,5
Desi Peniman,Female,Training,847500,Bengaluru,Average,12,31,4.1,8LPA - 10LPA,Between 31-40,Between 10-20km,2-5 Years,3
Devanand Arjun Jiglekar,Male,Legal,989700,Bengaluru,Not Rated,8,36,7.0,8LPA - 10LPA,Between 31-40,Less than 10km,5-10 Years,0
Dewie Stodart,Male,Product Management,765600,New Delhi,Good,29,37,1.6,6LPA - 8LPA,Between 31-40,Greater than 20km,0-2 Years,4
Dharurkar Neha Vivek,Female,Sales,359300,Mumbai,Average,20,27,2.2,2LPA - 4LPA,Less than 30,Between 10-20km,2-5 Years,3
Dhavase Nikhil Shyamkant,Male,Sales,1044100,New Delhi,Average,28,27,2.7,Greater than 10 LPA ,Less than 30,Greater than 20km,2-5 Years,3
Dhawan Ashima Sunil,Female,Sales,846000,Mumbai,Very Poor,20,40,7.5,8LPA - 10LPA,Between 31-40,Between 10-20km,5-10 Years,1
Dhrumi Gada,Female,Product Management,688000,Bengaluru,Poor,29,29,3.0,6LPA - 8LPA,Less than 30,Greater than 20km,2-5 Years,2
Dhruva Pathak,Female,Human Resources,865600,Mumbai,Average,6,34,13.1,8LPA - 10LPA,Between 31-40,Less than 10km,10-15 Years,3
Diarmid Alman,Female,Support,1073400,Mumbai,Average,28,39,13.4,Greater than 10 LPA ,Between 31-40,Greater than 20km,10-15 Years,3
Dike Sangita Changadeo,Female,Legal,1110500,Mumbai,Very Good,29,30,2.2,Greater than 10 LPA ,Less than 30,Greater than 20km,2-5 Years,5
Dipali Manohar More,Female,Training,753200,Bengaluru,Very Poor,19,29,4.3,6LPA - 8LPA,Less than 30,Between 10-20km,2-5 Years,1
Dipali Prashant Baviskar,Female,Legal,579100,New Delhi,Average,25,35,13.9,4LPA - 6LPA,Between 31-40,Greater than 20km,10-15 Years,3
Divyanshu Priyadarshi,Male,Legal,294900,Mumbai,Not Rated,16,33,5.5,2LPA - 4LPA,Between 31-40,Between 10-20km,5-10 Years,0
Dnyaneshwar Ashokrao Gudadhe,Male,Human Resources,526700,New Delhi,Average,10,28,4.9,4LPA - 6LPA,Less than 30,Less than 10km,2-5 Years,3
Doe Clubley,Female,Accounting,485300,Mumbai,Average,3,26,4.5,4LPA - 6LPA,Less than 30,Less than 10km,2-5 Years,3
Dominic Ortler,Female,Research and Development,1054700,Mumbai,Average,24,32,10.1,Greater than 10 LPA ,Between 31-40,Greater than 20km,10-15 Years,3
Dua Sameer Giri,Male,Training,982000,Mumbai,Poor,12,32,10.0,8LPA - 10LPA,Between 31-40,Between 10-20km,5-10 Years,2
Duffie Ibel,Male,Human Resources,1061900,Mumbai,Very Good,4,37,8.4,Greater than 10 LPA ,Between 31-40,Less than 10km,5-10 Years,5
Duky Wallace,Male,Sales,526100,Bengaluru,Poor,11,34,5.1,4LPA - 6LPA,Between 31-40,Between 10-20km,5-10 Years,2
Durand Backhouse,Female,Legal,634500,Mumbai,Good,24,30,4.5,6LPA - 8LPA,Less than 30,Greater than 20km,2-5 Years,4
Dushyant Patadiya,Male,Accounting,747100,Mumbai,Good,17,31,3.3,6LPA - 8LPA,Between 31-40,Between 10-20km,2-5 Years,4
Dushyant Somvanshi,Male,Sales,603300,Bengaluru,Average,9,40,5.3,6LPA - 8LPA,Between 31-40,Less than 10km,5-10 Years,3
Easter Pyke,Female,Sales,610100,New Delhi,Average,8,39,7.0,6LPA - 8LPA,Between 31-40,Less than 10km,5-10 Years,3
Edd MacKnockiter,Male,Accounting,763000,New Delhi,Not Rated,1,28,3.4,6LPA - 8LPA,Less than 30,Less than 10km,2-5 Years,0
Eddy Stolze,Male,Marketing,1170200,New Delhi,Average,24,39,9.7,Greater than 10 LPA ,Between 31-40,Greater than 20km,5-10 Years,3
Ede Mignot,Female,Marketing,771300,Bengaluru,Very Poor,26,29,7.8,6LPA - 8LPA,Less than 30,Greater than 20km,5-10 Years,1
Efrem Mathonnet,Female,Human Resources,1069300,Bengaluru,Average,12,36,0.8,Greater than 10 LPA ,Between 31-40,Between 10-20km,0-2 Years,3
Egor Minto,Not Revealed,Engineering,620900,Mumbai,Very Good,15,37,10.0,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,5
Eilis Pavlasek,Male,Marketing,613300,Bengaluru,Average,4,41,12.4,6LPA - 8LPA,Greater than 40,Less than 10km,10-15 Years,3
Ekta Bisht,Female,Training,416000,Mumbai,Not Rated,8,28,1.1,4LPA - 6LPA,Less than 30,Less than 10km,0-2 Years,0
Elangbam Panthoi Chanu,Female,Marketing,1058700,Mumbai,Very Poor,6,37,2.4,Greater than 10 LPA ,Between 31-40,Less than 10km,2-5 Years,1
Elia Cockton,Female,Human Resources,1183000,New Delhi,Average,26,29,7.1,Greater than 10 LPA ,Less than 30,Greater than 20km,5-10 Years,3
Emanuel Beldan,Male,Research and Development,996800,New Delhi,Good,14,30,1.3,8LPA - 10LPA,Less than 30,Between 10-20km,0-2 Years,4
Emmanuel Westrey,Female,Sales,1015000,Mumbai,Good,4,38,4.1,Greater than 10 LPA ,Between 31-40,Less than 10km,2-5 Years,4
Emmeline Bestwerthick,Female,Human Resources,461600,New Delhi,Average,22,31,5.2,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,3
Emmye Corry,Male,Sales,419300,Bengaluru,Average,22,35,6.1,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,3
Emory Whitten,Female,Business Development,733600,New Delhi,Average,3,36,9.3,6LPA - 8LPA,Between 31-40,Less than 10km,5-10 Years,3
Enrichetta Mowles,Female,Services,1195500,Mumbai,Good,26,31,6.8,Greater than 10 LPA ,Between 31-40,Greater than 20km,5-10 Years,4
Erin Androsik,Male,Human Resources,532400,Mumbai,Good,22,39,17.4,4LPA - 6LPA,Between 31-40,Greater than 20km,15+ Years,4
Erv Balmann,Female,Business Development,908800,New Delhi,Average,14,27,3.6,8LPA - 10LPA,Less than 30,Between 10-20km,2-5 Years,3
Erv Havill,Female,Support,476700,Mumbai,Average,3,40,5.1,4LPA - 6LPA,Between 31-40,Less than 10km,5-10 Years,3
Eshank Shah,Female,Training,477600,New Delhi,Average,28,39,18.5,4LPA - 6LPA,Between 31-40,Greater than 20km,15+ Years,3
Esmaria Denecamp,Male,Product Management,476500,Mumbai,Good,8,31,1.5,4LPA - 6LPA,Between 31-40,Less than 10km,0-2 Years,4
Euell Willoughley,Male,Services,1033600,Mumbai,Very Good,27,40,17.4,Greater than 10 LPA ,Between 31-40,Greater than 20km,15+ Years,5
Evangelia Gowers,Male,Human Resources,485300,New Delhi,Poor,13,31,5.9,4LPA - 6LPA,Between 31-40,Between 10-20km,5-10 Years,2
Evanne Levens,Male,Marketing,721600,New Delhi,Average,22,29,5.0,6LPA - 8LPA,Less than 30,Greater than 20km,2-5 Years,3
Evanne Sheryn,Female,Business Development,608000,Mumbai,Average,9,41,10.5,6LPA - 8LPA,Greater than 40,Less than 10km,10-15 Years,3
Evyn Fyrth,Male,Services,740100,New Delhi,Average,13,35,5.3,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,3
Eward Astlett,Male,Services,607600,Bengaluru,Very Good,18,40,18.4,6LPA - 8LPA,Between 31-40,Between 10-20km,15+ Years,5
Faina Durand,Male,Engineering,745500,Bengaluru,Average,4,39,19.3,6LPA - 8LPA,Between 31-40,Less than 10km,15+ Years,3
Fairfax Wallsam,Not Revealed,Engineering,325000,Mumbai,Poor,1,38,1.5,2LPA - 4LPA,Between 31-40,Less than 10km,0-2 Years,2
Faiz Mohammadi Zaiqa,Female,Business Development,1100400,Bengaluru,Good,18,29,1.1,Greater than 10 LPA ,Less than 30,Between 10-20km,0-2 Years,4
Farrel Vanyatin,Male,Legal,997500,New Delhi,Average,25,32,6.4,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,3
Faunie Sinton,Female,Human Resources,924700,New Delhi,Average,20,31,8.9,8LPA - 10LPA,Between 31-40,Between 10-20km,5-10 Years,3
Fax Scotland,Female,Engineering,1099800,New Delhi,Average,17,39,10.3,Greater than 10 LPA ,Between 31-40,Between 10-20km,10-15 Years,3
Fedora Graffin,Male,Legal,417900,Mumbai,Average,15,37,15.4,4LPA - 6LPA,Between 31-40,Between 10-20km,15+ Years,3
Felicdad Heibel,Male,Support,863600,New Delhi,Very Poor,14,32,5.7,8LPA - 10LPA,Between 31-40,Between 10-20km,5-10 Years,1
Felice McMurty,Female,Human Resources,655700,New Delhi,Very Good,18,34,12.0,6LPA - 8LPA,Between 31-40,Between 10-20km,10-15 Years,5
Felipe Parkman,Female,Accounting,691600,New Delhi,Very Good,10,32,10.3,6LPA - 8LPA,Between 31-40,Less than 10km,10-15 Years,5
Fernandes Lydia Norbert,Female,Product Management,415700,Mumbai,Good,14,33,7.3,4LPA - 6LPA,Between 31-40,Between 10-20km,5-10 Years,4
Fidela Dowey,Female,Sales,834000,New Delhi,Poor,3,28,6.8,8LPA - 10LPA,Less than 30,Less than 10km,5-10 Years,2
Fidelio Rigmond,Male,Business Development,676600,New Delhi,Very Poor,5,30,7.6,6LPA - 8LPA,Less than 30,Less than 10km,5-10 Years,1
Firdosh Aspi Roowalla,Male,Product Management,344700,Mumbai,Good,1,39,12.1,2LPA - 4LPA,Between 31-40,Less than 10km,10-15 Years,4
Floria Olivia,Female,Sales,382400,New Delhi,Not Rated,12,30,3.5,2LPA - 4LPA,Less than 30,Between 10-20km,2-5 Years,0
Florinda Crace,Female,Engineering,783800,Mumbai,Very Poor,5,31,6.2,6LPA - 8LPA,Between 31-40,Less than 10km,5-10 Years,1
Floyd Cowgill,Male,Business Development,725000,Bengaluru,Average,29,34,9.5,6LPA - 8LPA,Between 31-40,Greater than 20km,5-10 Years,3
Fonzie O'Shea,Male,Engineering,1156400,Mumbai,Average,24,29,5.3,Greater than 10 LPA ,Less than 30,Greater than 20km,5-10 Years,3
Forester Feakins,Male,Product Management,821200,Bengaluru,Average,1,35,5.4,8LPA - 10LPA,Between 31-40,Less than 10km,5-10 Years,3
Foss Asquez,Male,Services,1081600,Bengaluru,Good,25,30,8.8,Greater than 10 LPA ,Less than 30,Greater than 20km,5-10 Years,4
Franchot Crocken,Female,Sales,1083600,Mumbai,Average,19,33,5.3,Greater than 10 LPA ,Between 31-40,Between 10-20km,5-10 Years,3
Frasier Straw,Male,Human Resources,778400,Mumbai,Poor,8,33,1.4,6LPA - 8LPA,Between 31-40,Less than 10km,0-2 Years,2
Frasquito Mosley,Not Revealed,Services,851800,New Delhi,Poor,17,36,12.9,8LPA - 10LPA,Between 31-40,Between 10-20km,10-15 Years,2
Freda Legan,Female,Business Development,859200,Mumbai,Poor,19,35,12.4,8LPA - 10LPA,Between 31-40,Between 10-20km,10-15 Years,2
Freddy Linford,Female,Human Resources,1064900,New Delhi,Average,17,34,0.5,Greater than 10 LPA ,Between 31-40,Between 10-20km,0-2 Years,3
Frederik Dartan,Male,Legal,385200,Bengaluru,Poor,19,28,5.1,2LPA - 4LPA,Less than 30,Between 10-20km,5-10 Years,2
G S Mani,Male,Training,495300,Bengaluru,Average,9,33,7.2,4LPA - 6LPA,Between 31-40,Less than 10km,5-10 Years,3
G V R Sruthi Sri,Female,Product Management,296100,Mumbai,Average,4,38,5.9,2LPA - 4LPA,Between 31-40,Less than 10km,5-10 Years,3
Gabie Millichip,Male,Training,841700,Mumbai,Good,21,34,2.3,8LPA - 10LPA,Between 31-40,Greater than 20km,2-5 Years,4
Gaikwad Sachin Ramnath,Male,Support,921900,Mumbai,Average,17,33,6.1,8LPA - 10LPA,Between 31-40,Between 10-20km,5-10 Years,3
Galande Snehal Mohan,Female,Human Resources,878500,New Delhi,Good,1,39,3.4,8LPA - 10LPA,Between 31-40,Less than 10km,2-5 Years,4
Gamaliel Ewins,Male,Business Development,437000,Bengaluru,Average,14,36,7.1,4LPA - 6LPA,Between 31-40,Between 10-20km,5-10 Years,3
Gardy Eckersall,Male,Services,886900,Bengaluru,Not Rated,14,40,0.9,8LPA - 10LPA,Between 31-40,Between 10-20km,0-2 Years,0
Gare Mattiussi,Male,Marketing,318200,Bengaluru,Average,5,39,18.9,2LPA - 4LPA,Between 31-40,Less than 10km,15+ Years,3
Garey Bird,Female,Marketing,702300,New Delhi,Average,17,30,6.8,6LPA - 8LPA,Less than 30,Between 10-20km,5-10 Years,3
Gargi Balavant Joshi,Female,Legal,963200,Mumbai,Average,14,27,0.9,8LPA - 10LPA,Less than 30,Between 10-20km,0-2 Years,3
Garima Panwar,Female,Legal,907000,Mumbai,Very Poor,24,40,2.2,8LPA - 10LPA,Between 31-40,Greater than 20km,2-5 Years,1
Gaultiero Have,Male,Services,679600,New Delhi,Average,19,34,4.3,6LPA - 8LPA,Between 31-40,Between 10-20km,2-5 Years,3
Gaurav Khinvsara,Male,Services,1031100,New Delhi,Good,28,36,12.5,Greater than 10 LPA ,Between 31-40,Greater than 20km,10-15 Years,4
Gaurav Motwani�,Male,Engineering,596100,Bengaluru,Good,12,29,4.3,4LPA - 6LPA,Less than 30,Between 10-20km,2-5 Years,4
Gaurav Sabharwal,Male,Legal,665700,Mumbai,Poor,11,37,5.1,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,2
Gauri Balbhim Kulkarni,Female,Accounting,743900,New Delhi,Average,18,30,3.8,6LPA - 8LPA,Less than 30,Between 10-20km,2-5 Years,3
Gautam Shyam,Male,Engineering,670100,Mumbai,Good,14,35,8.2,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,4
Gearard Wixon,Male,Research and Development,1097100,Mumbai,Average,5,26,2.0,Greater than 10 LPA ,Less than 30,Less than 10km,0-2 Years,3
Geeta Abakash Sahu,Female,Product Management,1109100,Bengaluru,Average,2,40,18.5,Greater than 10 LPA ,Between 31-40,Less than 10km,15+ Years,3
Geetanjali. Gole,Female,Support,800600,New Delhi,Very Good,21,38,3.6,8LPA - 10LPA,Between 31-40,Greater than 20km,2-5 Years,5
Genovera Ghost,Male,Training,997500,Bengaluru,Average,1,38,13.2,8LPA - 10LPA,Between 31-40,Less than 10km,10-15 Years,3
Ghule Babaji Gopala,Male,Sales,1082500,Bengaluru,Average,12,29,3.5,Greater than 10 LPA ,Less than 30,Between 10-20km,2-5 Years,3
Giffer Berlin,Female,Product Management,1043400,New Delhi,Average,28,37,1.8,Greater than 10 LPA ,Between 31-40,Greater than 20km,0-2 Years,3
Gigi Bohling,Male,Product Management,384400,Bengaluru,Average,5,37,9.1,2LPA - 4LPA,Between 31-40,Less than 10km,5-10 Years,3
Gilles Jaquet,Female,Support,508000,Mumbai,Very Good,6,30,6.2,4LPA - 6LPA,Less than 30,Less than 10km,5-10 Years,5
Ginger Myott,Female,Engineering,349800,Bengaluru,Good,17,34,7.3,2LPA - 4LPA,Between 31-40,Between 10-20km,5-10 Years,4
Giram Surendra Krishnath,Male,Support,772600,Mumbai,Average,9,41,14.5,6LPA - 8LPA,Greater than 40,Less than 10km,10-15 Years,3
Girish Balkrishna Joshi,Male,Legal,1179400,Bengaluru,Average,22,40,10.0,Greater than 10 LPA ,Between 31-40,Greater than 20km,5-10 Years,3
Giselbert Newlands,Male,Legal,310400,Mumbai,Good,7,27,4.9,2LPA - 4LPA,Less than 30,Less than 10km,2-5 Years,4
Golekar Pushkar Ramesh,Male,Services,963700,Bengaluru,Not Rated,25,32,2.3,8LPA - 10LPA,Between 31-40,Greater than 20km,2-5 Years,0
Gosavi Sugandha Gopal,Female,Services,311700,Mumbai,Average,26,33,12.2,2LPA - 4LPA,Between 31-40,Greater than 20km,10-15 Years,3
Gouri Suresh Ghotkar,Female,Business Development,1162400,New Delhi,Average,16,34,2.2,Greater than 10 LPA ,Between 31-40,Between 10-20km,2-5 Years,3
Govinda Heda,Male,Product Management,1151900,New Delhi,Very Poor,3,26,1.6,Greater than 10 LPA ,Less than 30,Less than 10km,0-2 Years,1
Gradey Litton,Female,Training,795700,New Delhi,Average,26,33,9.1,6LPA - 8LPA,Between 31-40,Greater than 20km,5-10 Years,3
Grady Rochelle,Female,Training,956800,New Delhi,Very Good,18,28,2.9,8LPA - 10LPA,Less than 30,Between 10-20km,2-5 Years,5
Granny Spencelayh,Male,Accounting,1071100,Mumbai,Good,3,41,0.9,Greater than 10 LPA ,Greater than 40,Less than 10km,0-2 Years,4
Griz Thorington,Male,Sales,661000,New Delhi,Poor,12,35,14.6,6LPA - 8LPA,Between 31-40,Between 10-20km,10-15 Years,2
Gunar Cockshoot,Male,Legal,399600,Mumbai,Average,21,36,7.5,2LPA - 4LPA,Between 31-40,Greater than 20km,5-10 Years,3
Gunjal Aniket Vasant,Male,Business Development,298900,New Delhi,Good,1,27,7.0,2LPA - 4LPA,Less than 30,Less than 10km,5-10 Years,4
Gwenore Scotchmer,Female,Marketing,481700,Mumbai,Good,15,36,4.6,4LPA - 6LPA,Between 31-40,Between 10-20km,2-5 Years,4
Hali Behnecke,Male,Services,992000,Bengaluru,Good,5,32,0.5,8LPA - 10LPA,Between 31-40,Less than 10km,0-2 Years,4
Halimeda Kuscha,Female,Legal,728400,Mumbai,Average,15,31,5.3,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,3
Hans Bucke,Male,Engineering,689700,New Delhi,Average,2,38,13.1,6LPA - 8LPA,Between 31-40,Less than 10km,10-15 Years,3
Harbir Singh�,Male,Marketing,890900,New Delhi,Good,4,30,4.1,8LPA - 10LPA,Less than 30,Less than 10km,2-5 Years,4
Harini Shankar Nanda,Female,Business Development,1184500,New Delhi,Very Good,14,35,1.7,Greater than 10 LPA ,Between 31-40,Between 10-20km,0-2 Years,5
Harish Kumar Dubey,Male,Product Management,803600,New Delhi,Average,23,37,14.3,8LPA - 10LPA,Between 31-40,Greater than 20km,10-15 Years,3
Harleen Deol,Female,Marketing,1047700,Mumbai,Average,2,27,1.5,Greater than 10 LPA ,Less than 30,Less than 10km,0-2 Years,3
Harmanpreet Kaur,Female,Accounting,704400,Mumbai,Very Good,5,37,10.4,6LPA - 8LPA,Between 31-40,Less than 10km,10-15 Years,5
Harwilll Domotor,Male,Support,569000,Mumbai,Average,15,36,0.0,4LPA - 6LPA,Between 31-40,Between 10-20km,0-2 Years,3
Hatti Vezey,Female,Services,724500,Mumbai,Not Rated,8,29,6.5,6LPA - 8LPA,Less than 30,Less than 10km,5-10 Years,0
Haven Belward,Male,Business Development,345000,Mumbai,Not Rated,15,35,8.1,2LPA - 4LPA,Between 31-40,Between 10-20km,5-10 Years,0
Hedwiga Ingarfield,Female,Engineering,1188000,New Delhi,Very Good,5,29,7.3,Greater than 10 LPA ,Less than 30,Less than 10km,5-10 Years,5
Heena Wadhwa,Male,Research and Development,1150800,Mumbai,Very Good,27,26,2.1,Greater than 10 LPA ,Less than 30,Greater than 20km,2-5 Years,5
Heigrujam Daya Devi,Female,Sales,395400,Bengaluru,Average,20,40,11.8,2LPA - 4LPA,Between 31-40,Between 10-20km,10-15 Years,3
Helaine Lyddy,Male,Accounting,1064600,Bengaluru,Poor,27,32,3.5,Greater than 10 LPA ,Between 31-40,Greater than 20km,2-5 Years,2
Hema Matela,Female,Support,945300,Mumbai,Poor,8,29,2.4,8LPA - 10LPA,Less than 30,Less than 10km,2-5 Years,2
Hemanshu Dave,Male,Business Development,715900,Bengaluru,Poor,26,27,6.6,6LPA - 8LPA,Less than 30,Greater than 20km,5-10 Years,2
Hildagard Reece,Female,Marketing,1049000,Mumbai,Good,9,29,4.3,Greater than 10 LPA ,Less than 30,Less than 10km,2-5 Years,4
Himanshi Srivastava,Female,Engineering,817900,Bengaluru,Not Rated,13,30,5.2,8LPA - 10LPA,Less than 30,Between 10-20km,5-10 Years,0
Himanshu Sunil Vaidya,Male,Support,330500,Mumbai,Average,19,34,3.9,2LPA - 4LPA,Between 31-40,Between 10-20km,2-5 Years,3
Hinda Label,Female,Product Management,969200,Mumbai,Very Poor,2,40,12.5,8LPA - 10LPA,Between 31-40,Less than 10km,10-15 Years,1
Hinge Anuradha Pramod,Female,Accounting,984000,Bengaluru,Average,26,34,6.2,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,3
Hire Shalaka Kailash,Female,Human Resources,500200,Mumbai,Average,24,29,1.0,4LPA - 6LPA,Less than 30,Greater than 20km,0-2 Years,3
Hiwale Madhuri Sureshrao,Female,Training,712100,New Delhi,Average,1,40,10.4,6LPA - 8LPA,Between 31-40,Less than 10km,10-15 Years,3
Hobie Stockbridge,Male,Engineering,531800,New Delhi,Average,15,29,1.8,4LPA - 6LPA,Less than 30,Between 10-20km,0-2 Years,3
Hogan Iles,Female,Human Resources,1070200,New Delhi,Average,6,32,10.2,Greater than 10 LPA ,Between 31-40,Less than 10km,10-15 Years,3
Honoria Cootes,Female,Research and Development,584000,Bengaluru,Average,26,36,6.0,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,3
Hoyt D'Alesco,Male,Accounting,490000,Mumbai,Good,22,36,8.0,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,4
Husein Augar,Female,Services,855300,New Delhi,Average,10,29,6.2,8LPA - 10LPA,Less than 30,Less than 10km,5-10 Years,3
Ianthe Sayre,Male,Training,539500,Bengaluru,Poor,15,34,13.0,4LPA - 6LPA,Between 31-40,Between 10-20km,10-15 Years,2
Ignacio Delion,Female,Services,411400,Bengaluru,Average,29,31,2.1,4LPA - 6LPA,Between 31-40,Greater than 20km,2-5 Years,3
Inger Andriveaux,Not Revealed,Accounting,499200,New Delhi,Average,2,28,5.6,4LPA - 6LPA,Less than 30,Less than 10km,5-10 Years,3
Ingunna Wainscoat,Male,Research and Development,397000,Bengaluru,Average,14,37,16.1,2LPA - 4LPA,Between 31-40,Between 10-20km,15+ Years,3
Irvine Blenkin,Male,Sales,535400,Mumbai,Poor,15,31,3.5,4LPA - 6LPA,Between 31-40,Between 10-20km,2-5 Years,2
Irwin Kirsche,Female,Marketing,439000,New Delhi,Good,28,28,0.7,4LPA - 6LPA,Less than 30,Greater than 20km,0-2 Years,4
Isadora Maunsell,Male,Legal,727000,Bengaluru,Not Rated,28,32,11.6,6LPA - 8LPA,Between 31-40,Greater than 20km,10-15 Years,0
Isidora Guido,Male,Human Resources,294200,New Delhi,Average,6,31,2.5,2LPA - 4LPA,Between 31-40,Less than 10km,2-5 Years,3
Israel Farndon,Male,Legal,582800,Mumbai,Average,19,26,3.2,4LPA - 6LPA,Less than 30,Between 10-20km,2-5 Years,3
Issiah Cradick,Male,Research and Development,679800,Bengaluru,Average,17,31,4.5,6LPA - 8LPA,Between 31-40,Between 10-20km,2-5 Years,3
Itch Tinklin,Female,Legal,497600,Mumbai,Very Good,25,31,0.1,4LPA - 6LPA,Between 31-40,Greater than 20km,0-2 Years,5
J Kalpana Reddy,Female,Services,699100,New Delhi,Good,8,38,16.9,6LPA - 8LPA,Between 31-40,Less than 10km,15+ Years,4
Jabamani Tudu,Female,Training,1123700,New Delhi,Average,2,26,5.6,Greater than 10 LPA ,Less than 30,Less than 10km,5-10 Years,3
Jacklyn Andrioletti,Female,Legal,285800,Mumbai,Average,8,26,1.4,2LPA - 4LPA,Less than 30,Less than 10km,0-2 Years,3
Jahida Javed Subhedar,Female,Accounting,435900,Mumbai,Poor,5,39,7.3,4LPA - 6LPA,Between 31-40,Less than 10km,5-10 Years,2
Jaime Dowe,Female,Training,788400,Bengaluru,Average,6,36,10.9,6LPA - 8LPA,Between 31-40,Less than 10km,10-15 Years,3
Jalaj Pachouly,Male,Human Resources,619900,Bengaluru,Not Rated,26,26,2.0,6LPA - 8LPA,Less than 30,Greater than 20km,0-2 Years,0
Jan Morforth,Male,Services,771000,New Delhi,Good,6,30,1.4,6LPA - 8LPA,Less than 30,Less than 10km,0-2 Years,4
Janaya MacGinlay,Female,Marketing,660200,Bengaluru,Very Good,28,28,3.9,6LPA - 8LPA,Less than 30,Greater than 20km,2-5 Years,5
Janene Hairsine,Female,Support,709300,New Delhi,Average,19,40,3.9,6LPA - 8LPA,Between 31-40,Between 10-20km,2-5 Years,3
Janhavi Chaudhary,Female,Legal,409800,New Delhi,Very Poor,8,30,7.1,4LPA - 6LPA,Less than 30,Less than 10km,5-10 Years,1
Janhavi Kailas Mahale,Female,Marketing,489800,New Delhi,Very Poor,7,40,8.8,4LPA - 6LPA,Between 31-40,Less than 10km,5-10 Years,1
Janina Wolverson,Female,Training,1108200,New Delhi,Good,16,38,8.7,Greater than 10 LPA ,Between 31-40,Between 10-20km,5-10 Years,4
Javed Mehmood Subhedar,Male,Business Development,616900,Mumbai,Good,5,38,14.2,6LPA - 8LPA,Between 31-40,Less than 10km,10-15 Years,4
Jaymit Rawal,Male,Support,1048000,Bengaluru,Average,1,27,6.9,Greater than 10 LPA ,Less than 30,Less than 10km,5-10 Years,3
